id_ptn,ptn_nama,jalur,id_prodi,kode_prodi,prodi,jenjang,portofolio,kelompok_bidang,is_fakultas,is_new,daya_tampung_kini,tahun,daya_tampung,peminat,terima,peminat_lag1,peminat_lag2,daya_tampung_lag1,terima_lag1,jumlah_prodi_ptn,total_peminat_ptn,proporsi_peminat_lokal,jumlah_provinsi_asal
141,UNIVERSITAS ANDALAS,SNBP,141011,11411011,TEKNIK KOMPUTER,S1,Tidak Ada,teknik,0,0,20,2023,20,396,20,469,460,20,20,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141011,11411011,TEKNIK KOMPUTER,S1,Tidak Ada,teknik,0,0,20,2024,20,387,20,396,469,20,20,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141011,11411011,TEKNIK KOMPUTER,S1,Tidak Ada,teknik,0,0,20,2025,20,334,20,387,396,20,20,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141012,11411012,PETERNAKAN,S1,Tidak Ada,pertanian,0,0,160,2021,105,409,105,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141012,11411012,PETERNAKAN,S1,Tidak Ada,pertanian,0,0,160,2022,80,343,80,409,,105,105,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141012,11411012,PETERNAKAN,S1,Tidak Ada,pertanian,0,0,160,2023,160,406,160,343,409,80,80,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141012,11411012,PETERNAKAN,S1,Tidak Ada,pertanian,0,0,160,2024,160,278,160,406,343,160,160,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141012,11411012,PETERNAKAN,S1,Tidak Ada,pertanian,0,0,160,2025,160,341,160,278,406,160,160,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141013,11411013,TEKNIK MESIN,S1,Tidak Ada,teknik,0,0,38,2021,45,435,48,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141013,11411013,TEKNIK MESIN,S1,Tidak Ada,teknik,0,0,38,2022,30,366,30,435,,45,48,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141013,11411013,TEKNIK MESIN,S1,Tidak Ada,teknik,0,0,38,2023,30,321,30,366,435,30,30,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141013,11411013,TEKNIK MESIN,S1,Tidak Ada,teknik,0,0,38,2024,38,287,38,321,366,30,30,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141013,11411013,TEKNIK MESIN,S1,Tidak Ada,teknik,0,0,38,2025,38,352,38,287,321,38,38,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141014,11411014,TEKNIK SIPIL,S1,Tidak Ada,teknik,0,0,45,2021,54,740,55,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141014,11411014,TEKNIK SIPIL,S1,Tidak Ada,teknik,0,0,45,2022,36,630,36,740,,54,55,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141014,11411014,TEKNIK SIPIL,S1,Tidak Ada,teknik,0,0,45,2023,45,570,45,630,740,36,36,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141014,11411014,TEKNIK SIPIL,S1,Tidak Ada,teknik,0,0,45,2024,45,487,45,570,630,45,45,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141014,11411014,TEKNIK SIPIL,S1,Tidak Ada,teknik,0,0,45,2025,50,570,50,487,570,45,45,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141015,11411015,TEKNIK INDUSTRI,S1,Tidak Ada,teknik,0,0,38,2021,39,641,41,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141015,11411015,TEKNIK INDUSTRI,S1,Tidak Ada,teknik,0,0,38,2022,26,572,26,641,,39,41,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141015,11411015,TEKNIK INDUSTRI,S1,Tidak Ada,teknik,0,0,38,2023,39,704,39,572,641,26,26,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141015,11411015,TEKNIK INDUSTRI,S1,Tidak Ada,teknik,0,0,38,2024,39,586,39,704,572,39,39,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141015,11411015,TEKNIK INDUSTRI,S1,Tidak Ada,teknik,0,0,38,2025,38,751,38,586,704,39,39,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141016,11411016,TEKNIK LINGKUNGAN,S1,Tidak Ada,teknik,0,0,34,2021,36,443,38,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141016,11411016,TEKNIK LINGKUNGAN,S1,Tidak Ada,teknik,0,0,34,2022,24,415,24,443,,36,38,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141016,11411016,TEKNIK LINGKUNGAN,S1,Tidak Ada,teknik,0,0,34,2023,30,361,30,415,443,24,24,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141016,11411016,TEKNIK LINGKUNGAN,S1,Tidak Ada,teknik,0,0,34,2024,30,375,30,361,415,30,30,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141016,11411016,TEKNIK LINGKUNGAN,S1,Tidak Ada,teknik,0,0,34,2025,34,461,34,375,361,30,30,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141017,11411017,TEKNIK ELEKTRO,S1,Tidak Ada,teknik,0,0,28,2021,45,471,47,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141017,11411017,TEKNIK ELEKTRO,S1,Tidak Ada,teknik,0,0,28,2022,30,355,29,471,,45,47,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141017,11411017,TEKNIK ELEKTRO,S1,Tidak Ada,teknik,0,0,28,2023,37,381,37,355,471,30,29,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141017,11411017,TEKNIK ELEKTRO,S1,Tidak Ada,teknik,0,0,28,2024,28,311,28,381,355,37,37,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141017,11411017,TEKNIK ELEKTRO,S1,Tidak Ada,teknik,0,0,28,2025,28,350,28,311,381,28,28,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141018,11411018,FARMASI,S1,Tidak Ada,kesehatan,0,0,40,2021,45,1426,45,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141018,11411018,FARMASI,S1,Tidak Ada,kesehatan,0,0,40,2022,34,1425,34,1426,,45,45,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141018,11411018,FARMASI,S1,Tidak Ada,kesehatan,0,0,40,2023,34,1568,34,1425,1426,34,34,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141018,11411018,FARMASI,S1,Tidak Ada,kesehatan,0,0,40,2024,40,1298,40,1568,1425,34,34,56,18791,,
